node_id,degree,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coefficient,community
emory,44,0.36363636363636365,0.3675545645109976,0.48995000510152026,0.056025369978858354,0
gatech,34,0.2809917355371901,0.18667702816182397,0.4313690262306863,0.0748663101604278,1
morehouse,6,0.049586776859504134,0.002179263688561208,0.35753108480381207,0.6666666666666666,2
uga,4,0.03305785123966942,0.004217175424207782,0.269057290937106,0.0,3
gsu,5,0.04132231404958678,0.0046096611530495836,0.3307162534435262,0.3,4
cdc,4,0.03305785123966942,0.014481473531060312,0.3174876033057851,0.16666666666666666,3
choa,4,0.03305785123966942,0.01681889487158083,0.3406519348774518,0.5,2
emory_healthcare,6,0.049586776859504134,0.052617079889807156,0.3174876033057851,0.06666666666666667,5
wellstar,1,0.008264462809917356,0.0,0.1812143854485075,0.0,1
grady,4,0.03305785123966942,0.009351904026490804,0.3137229281677718,0.5,2
oak_street_health,0,0.0,0.0,0.0,0.0,7
aveanna_healthcare,0,0.0,0.0,0.0,0.0,8
piedmont_healthcare,1,0.008264462809917356,0.0,0.1880850730484509,0.0,2
geovax,2,0.01652892561983471,0.0022408867773369345,0.32134372804229266,0.0,3
micron,4,0.03305785123966942,0.0048342908580724635,0.312487798529316,0.3333333333333333,3
neurop,2,0.01652892561983471,0.002469718833355196,0.312487798529316,0.0,4
maphabit,0,0.0,0.0,0.0,0.0,9
florence,1,0.008264462809917356,0.0,0.22873746635863482,0.0,5
clearside,3,0.024793388429752067,0.001579338739483982,0.3076430264590941,0.6666666666666666,3
vero,0,0.0,0.0,0.0,0.0,10
artivion,0,0.0,0.0,0.0,0.0,11
copient_health,0,0.0,0.0,0.0,0.0,12
portal,16,0.1322314049586777,0.10406259279564171,0.3559278063966201,0.03333333333333333,1
catalyst,3,0.024793388429752067,0.014360658472228715,0.2327621725115727,0.0,1
bip,0,0.0,0.0,0.0,0.0,13
gra_fund,15,0.12396694214876033,0.04326096091756494,0.29616380905390405,0.05714285714285714,3
keiretsu_southeast,2,0.01652892561983471,0.0,0.2886250939143501,1.0,1
atdc,6,0.049586776859504134,0.035953863247251666,0.29951660689225007,0.13333333333333333,1
create_x,2,0.01652892561983471,0.0,0.2834710743801653,1.0,1
biolocity,15,0.12396694214876033,0.05474825599649899,0.37439575861531266,0.18095238095238095,14
lab2launch,2,0.01652892561983471,0.0,0.3149678604224059,1.0,14
quadrant_i,6,0.049586776859504134,0.019652238999589504,0.34660218701504925,0.4,14
venturelab,3,0.024793388429752067,0.0,0.2950628283511014,1.0,14
collabtech_gsu,5,0.04132231404958678,0.0025111068912721797,0.26457300275482093,0.0,4
eidd,1,0.008264462809917356,0.0,0.30645521554612465,0.0,0
biospark_labs,5,0.04132231404958678,0.0029326854837306957,0.30645521554612465,0.5,1
tag_digital_health,1,0.008264462809917356,0.0,0.19311898011300796,0.0,2
adjust_center_emory,1,0.008264462809917356,0.0,0.30645521554612465,0.0,0
piezo_therapeutics,2,0.01652892561983471,0.0016194923839551929,0.2886250939143501,0.0,4
